"fragment"	"length"	"numhm"	"numht"	"varpercent"	"hmpercent"	"file"
"seq_id_8210"	13498	8	1	2.56410256410256	24.330900243309	"genome_1"
"seq_id_8072"	129276	145	9	0.778557753669432	6.94760820045558	"genome_10"
"seq_id_7806"	87075	79	4	0.540326831839747	4.59126539753639	"genome_100"
"seq_id_7901"	70582	48	4	1.64021164021164	15.5193992490613	"genome_101"
"seq_id_7649"	20670	10	1	2.49242632883503	21.9393939393939	"genome_102"
"seq_id_8196"	7301	3	0	2.14248838409912	20.8542713567839	"genome_103"
"seq_id_7952"	67152	50	1	0.155159038013964	1.39211136890951	"genome_104"
"seq_id_7453"	5910	4	0	1.75131348511384	16.1090458488228	"genome_105"
"seq_id_8081"	25827	16	1	1.3283466597885	13.154533844189	"genome_106"
"seq_id_8058"	8941	10	0	0.392054364871929	3.74531835205992	"genome_107"
"seq_id_7874"	18400	11	1	2.39591516103692	20.0878155872667	"genome_108"
"seq_id_7775"	91682	79	4	0.802103879026956	7.54950495049505	"genome_109"
"seq_id_8040"	6951	5	0	1.03267973856209	9.1118800461361	"genome_11"
"seq_id_8041"	19121	13	0	0.261780104712042	2.51256281407035	"genome_110"
"seq_id_7751"	9381	3	1	8.7478783130957	77.8164924506388	"genome_111"
"seq_id_7864"	49468	34	4	2.17447916666667	19.6702002355713	"genome_112"
"seq_id_8225"	7857	4	0	1.63575476558475	14.8191365227538	"genome_113"
"seq_id_8104"	9804	6	0	1.03079500064425	9.32400932400932	"genome_114"
"seq_id_7918"	88439	65	4	0.825688073394495	7.80669144981413	"genome_115"
"seq_id_7908"	5868	4	0	1.76478335308837	16.729088639201	"genome_116"
"seq_id_7728"	30742	15	1	1.48631029986962	12.9988597491448	"genome_117"
"seq_id_8365"	81475	87	5	0.888011840157869	8.03571428571429	"genome_118"
"seq_id_7926"	667	1	0	6.69311492193499	59.0293453724605	"genome_119"
"seq_id_7805"	13006	13	0	0.334313987697245	3.25520833333333	"genome_12"
"seq_id_7941"	242647	256	21	1.05403602401601	9.85037406483791	"genome_120"
"seq_id_8000"	11398	11	0	0.326754672591818	3.00480769230769	"genome_121"
"seq_id_8162"	7491	6	0	0.868100544182431	8.40652446675031	"genome_122"
"seq_id_7742"	118978	133	5	0.381378221988427	3.4688995215311	"genome_123"
"seq_id_8114"	12940	6	1	4.36905679773837	38.6363636363636	"genome_124"
"seq_id_8122"	13384	13	0	0.252748641476052	2.42718446601942	"genome_125"
"seq_id_8014"	92005	97	4	0.444618804760037	4.25	"genome_126"
"seq_id_8017"	22283	12	1	2.06474636757583	17.9005524861878	"genome_127"
"seq_id_8223"	23543	13	1	1.99263865972839	17.0097508125677	"genome_128"
"seq_id_8166"	135424	169	14	1.00241086156579	10.1152368758003	"genome_129"
"seq_id_8165"	412373	613	42	0.861071841665596	7.8546307151231	"genome_13"
"seq_id_7764"	147259	175	9	0.726168471085292	6.66666666666667	"genome_130"
"seq_id_7807"	7322	5	0	1.66579223504722	13.4249471458774	"genome_131"
"seq_id_8364"	5301	4	0	1.709726443769	15.8450704225352	"genome_132"
"seq_id_8013"	6543	4	0	1.84313725490196	16.1882893226177	"genome_133"
"seq_id_8190"	118831	127	5	0.269818835924451	2.53929866989117	"genome_134"
"seq_id_8221"	11553	5	1	4.65589619641267	40.3973509933775	"genome_135"
"seq_id_7725"	86704	97	1	0.05249343832021	0.46242774566474	"genome_136"
"seq_id_8014"	4933	3	0	2.34243561537466	22.4565756823821	"genome_137"
"seq_id_7999"	84442	76	4	0.73775989268947	6.5554231227652	"genome_138"
"seq_id_7769"	16050	12	1	2.08136234626301	18.6215235792019	"genome_139"
