position	numhm	numht	length
100000	122	86
200000	106	114
300000	145	99
400000	124	172
500000	119	164
600000	28	23
700000	97	106
800000	140	142
900000	82	45
1000000	117	108
1100000	78	57
1200000	93	21
1300000	93	37
1400000	58	20
1500000	120	26
1600000	92	30
1700000	56	26
1800000	0	1
1900000	49	14
2000000	82	11
2100000	123	17
2200000	49	13
2300000	3	0
2400000	68	6
2500000	153	13
2600000	133	6
2700000	183	10
2800000	154	15
2900000	191	7
3000000	145	16
3100000	149	19
3200000	78	5
3300000	164	20
3400000	100	5
3500000	105	6
3600000	189	40
3700000	150	18
3800000	72	2
3900000	97	8
4000000	120	3
4100000	126	8
4200000	84	27
4300000	61	4
4400000	134	3
4500000	110	2
4600000	68	3
4700000	142	14
4800000	80	9
4900000	85	1
5000000	209	61
