fragment_id	length
seq_id_881	54976
seq_id_891	33294
seq_id_683	53384
seq_id_876	56733
seq_id_1502	108580
seq_id_233	169012
seq_id_323	26880
seq_id_1118	10547
seq_id_1356	107551
seq_id_697	36649
seq_id_3281	121170
seq_id_733	186373
seq_id_3589	29445
seq_id_2613	10972
seq_id_2509	75012
seq_id_3541	253249
seq_id_2684	10778
seq_id_2927	18161
seq_id_623	143700
seq_id_1764	41949
seq_id_502	33303
seq_id_1070	222637
seq_id_377	61121
seq_id_4305	101703
seq_id_1437	55910
seq_id_2993	182148
seq_id_761	35686
seq_id_2553	81898
seq_id_526	600
seq_id_1696	59067
seq_id_4388	135799
seq_id_2366	2610
seq_id_1578	17716
seq_id_996	458308
seq_id_824	103731
seq_id_4421	19170
seq_id_3000	61620
seq_id_4067	153357
seq_id_1797	30525
seq_id_1667	2407
seq_id_2755	77505
seq_id_4333	55005
seq_id_3783	93839
seq_id_3407	73610
seq_id_4403	3035
seq_id_630	48274
seq_id_439	69537
seq_id_532	63924
seq_id_3768	47559
seq_id_984	125719
seq_id_2333	6227
seq_id_3101	68468
seq_id_417	96992
seq_id_751	178095
seq_id_816	12265
seq_id_1982	5544
seq_id_564	4162
seq_id_684	30511
seq_id_2374	169640
seq_id_3853	184715
seq_id_4317	99216
seq_id_120	13182
seq_id_1968	60996
seq_id_1975	81649
seq_id_583	27792
seq_id_2160	41926
seq_id_626	70258
seq_id_3921	71074
seq_id_4167	80293
seq_id_2664	61066
seq_id_783	89464
seq_id_796	5411
seq_id_2628	300959
seq_id_3160	106805
seq_id_3889	323187
seq_id_1277	18555
seq_id_4329	47833
seq_id_177	92838
seq_id_4210	72197
seq_id_2	5150
seq_id_3168	41889
seq_id_87	41728
seq_id_210	17461
seq_id_1470	47436
seq_id_1391	69180
seq_id_2012	56046
seq_id_1461	57339
seq_id_3170	121135
seq_id_4220	50895
seq_id_1047	52665
seq_id_2943	3878
seq_id_338	19022
seq_id_2879	12584
seq_id_3658	36887
seq_id_3621	76229
seq_id_2280	28163
seq_id_3729	205058
seq_id_1462	74510
seq_id_3264	176191
seq_id_331	204517
seq_id_1946	62258
seq_id_4286	168168
seq_id_1389	36143
seq_id_4066	140724
seq_id_3539	160406
seq_id_3028	10507
seq_id_2227	180176
seq_id_4002	1506
seq_id_877	62368
seq_id_2338	147225
seq_id_2462	200998
seq_id_3651	127152
seq_id_668	31613
seq_id_1822	40257
seq_id_145	89963
seq_id_4177	152717
seq_id_749	30636
seq_id_1539	169914
seq_id_3243	18142
seq_id_2593	117752
seq_id_398	121817
seq_id_1802	44248
seq_id_214	105603
seq_id_1438	93382
seq_id_1865	16413
seq_id_3445	95585
seq_id_2981	62891
seq_id_296	113211
seq_id_507	1018
seq_id_784	40059
seq_id_636	70097
seq_id_4264	72125
seq_id_2639	127507
seq_id_3318	96139
seq_id_4478	49711
seq_id_3212	92567
seq_id_3418	236754
seq_id_2189	65103
seq_id_3792	2424
seq_id_463	82654
seq_id_593	135375
seq_id_3884	192298
seq_id_895	116019
seq_id_4236	4382
seq_id_3505	63890
seq_id_3269	85531
seq_id_1180	91244
seq_id_3180	12378
seq_id_1984	22518
seq_id_3124	52796
seq_id_3209	41025
seq_id_3236	37820
seq_id_2380	99183
seq_id_2702	136317
seq_id_1613	52925
seq_id_2271	22549
seq_id_3524	89552
seq_id_3174	233758
seq_id_3491	1855
seq_id_657	8981
seq_id_1994	165675
seq_id_1655	27047
seq_id_2631	34489
seq_id_68	16204
seq_id_2520	8334
seq_id_2637	72882
seq_id_2933	74207
seq_id_3260	262544
seq_id_3811	4759
seq_id_2998	176267
seq_id_4419	33550
seq_id_4064	2982
seq_id_3324	15681
seq_id_2246	49011
seq_id_1340	118502
seq_id_1485	10058
seq_id_1406	38999
seq_id_1750	180740
seq_id_716	3754
seq_id_360	31170
seq_id_1334	21536
seq_id_4163	102749
seq_id_2318	49236
seq_id_3607	165731
seq_id_932	5326
seq_id_3218	9391
seq_id_3178	83487
seq_id_4380	15555
seq_id_1937	208600
seq_id_3991	153057
seq_id_1779	63629
seq_id_1644	42548
seq_id_2532	11413
seq_id_2782	58939
seq_id_16	221595
seq_id_3924	82649
seq_id_2609	52298
seq_id_714	152899
seq_id_2346	34310
seq_id_2327	72932
seq_id_982	46986
seq_id_3125	8288
seq_id_1486	153210
seq_id_1029	69684
seq_id_4005	1776
seq_id_3270	174638
seq_id_2264	16288
seq_id_747	66737
seq_id_2057	8264
seq_id_4027	31149
seq_id_3624	188384
seq_id_1717	62093
seq_id_3690	217314
seq_id_1660	92970
seq_id_274	58806
seq_id_2203	278253
seq_id_1632	391044
seq_id_1433	81847
seq_id_1207	272183
seq_id_672	185406
seq_id_428	67053
seq_id_764	193121
seq_id_1305	25466
seq_id_1128	13782
seq_id_1551	29889
seq_id_4076	156103
seq_id_3117	39141
seq_id_57	21280
seq_id_2907	81642
seq_id_1780	58944
seq_id_3838	28002
seq_id_138	13931
seq_id_3566	52109
seq_id_2776	203505
seq_id_2898	7148
seq_id_737	183110
seq_id_517	39381
seq_id_3185	55952
seq_id_432	61802
seq_id_3597	28822
seq_id_1269	51289
seq_id_3953	94695
seq_id_3940	165691
seq_id_3958	86006
seq_id_2690	5494
seq_id_3068	15799
seq_id_3839	107539
seq_id_2757	6070
seq_id_579	165362
seq_id_1918	53741
seq_id_795	239417
seq_id_282	77332
seq_id_2388	40018
seq_id_1228	30832
seq_id_1627	46630
seq_id_2630	241452
seq_id_3591	47106
seq_id_1676	5551
seq_id_2872	29962
seq_id_3507	33701
seq_id_1061	147542
seq_id_3333	106486
seq_id_1432	26470
seq_id_2889	162756
seq_id_4376	36668
seq_id_4149	87987
seq_id_518	75684
seq_id_3213	9373
seq_id_2299	61648
seq_id_3955	58480
seq_id_3276	38254
seq_id_3835	95435
seq_id_1707	50293
seq_id_2050	18955
seq_id_1372	22511
seq_id_3796	120508
seq_id_856	2292
seq_id_3039	33327
seq_id_4429	59206
seq_id_3569	297025
seq_id_3925	453642
seq_id_2578	5061
seq_id_2153	104030
seq_id_2951	205634
seq_id_342	186243
seq_id_2886	73297
seq_id_3004	11943
seq_id_3733	91209
seq_id_46	19326
seq_id_2894	1498
seq_id_2172	59885
seq_id_746	23678
seq_id_353	24785
seq_id_2705	140333
seq_id_964	3569
seq_id_1296	59501
seq_id_3640	9987
seq_id_372	43959
seq_id_1809	10212
seq_id_1166	3853
seq_id_1505	25514
seq_id_91	102748
seq_id_2208	72774
seq_id_2602	12983
seq_id_1497	358791
seq_id_533	170934
seq_id_168	6435
seq_id_4259	107299
seq_id_469	123629
seq_id_983	36059
seq_id_4405	240406
seq_id_1113	138450
seq_id_2803	70712
seq_id_2425	126337
seq_id_11	20367
seq_id_2167	25852
seq_id_1893	9444
seq_id_655	137173
seq_id_3822	38829
seq_id_405	25823
seq_id_4132	66649
seq_id_1832	9340
seq_id_2566	11866
seq_id_1943	26192
seq_id_95	13597
seq_id_3195	59637
seq_id_2812	30399
seq_id_1869	97258
seq_id_2026	18280
