fragment	length	numhm	numht
seq_id_1	3343	0	0
seq_id_2	543	0	0
seq_id_3	9126	0	0
seq_id_4	42345	0	0
seq_id_5	1112	0	0
seq_id_6	12531	0	1
seq_id_7	9260	0	0
seq_id_8	7470	0	0
seq_id_9	1546	0	0
seq_id_10	2404	0	0
seq_id_11	9706	0	0
seq_id_12	715	0	0
seq_id_13	1459	0	0
seq_id_14	801	0	0
seq_id_15	2809	0	0
seq_id_16	28113	0	1
seq_id_17	8754	0	0
seq_id_18	504	0	0
seq_id_19	2307	0	0
seq_id_20	2026	0	0
seq_id_21	2971	0	0
seq_id_22	1652	0	0
seq_id_23	2673	0	0
seq_id_24	2484	0	0
seq_id_25	3239	0	0
seq_id_26	1060	0	0
seq_id_27	858	0	0
seq_id_28	3416	0	0
seq_id_29	2248	0	0
seq_id_30	8755	0	0
seq_id_31	6877	0	0
seq_id_32	9124	0	0
seq_id_33	925	0	0
seq_id_34	1980	0	0
seq_id_35	38946	0	0
seq_id_36	2363	0	0
seq_id_37	4189	0	0
seq_id_38	4158	0	0
seq_id_39	10574	0	0
seq_id_40	6911	0	0
seq_id_41	9088	0	0
seq_id_42	13504	0	0
seq_id_43	1553	0	0
seq_id_44	4358	0	0
seq_id_45	2597	0	0
seq_id_46	5915	0	0
seq_id_47	6409	0	0
seq_id_48	20046	0	1
seq_id_49	1222	0	0
seq_id_50	1707	0	0
seq_id_51	5263	0	0
seq_id_52	21177	0	0
seq_id_53	1940	0	0
seq_id_54	839	0	0
seq_id_55	4160	0	0
seq_id_56	2238	0	0
seq_id_57	1118	0	0
seq_id_58	2241	0	0
seq_id_59	6883	0	0
seq_id_60	13712	0	0
seq_id_61	2975	0	0
seq_id_62	22596	0	0
seq_id_63	2239	0	0
seq_id_64	15038	0	0
seq_id_65	3101	0	0
seq_id_66	13518	0	0
seq_id_67	98646	0	0
seq_id_68	1684	0	0
seq_id_69	5506	0	0
seq_id_70	4874	0	0
seq_id_71	4740	0	0
seq_id_72	2707	0	0
seq_id_73	10275	0	0
seq_id_74	7475	0	0
seq_id_75	927	0	0
seq_id_76	895	0	0
seq_id_77	4480	0	0
seq_id_78	2228	0	0
seq_id_79	1005	0	0
seq_id_80	4286	0	0
seq_id_81	30211	0	0
seq_id_82	2417	0	0
seq_id_83	8290	0	0
seq_id_84	1900	0	0
seq_id_85	52944	0	0
seq_id_86	21512	0	0
seq_id_87	1593	0	0
seq_id_88	630	0	0
seq_id_89	15495	0	0
seq_id_90	2968	0	0
seq_id_91	5521	0	0
seq_id_92	1381	0	0
seq_id_93	713	0	0
seq_id_94	26362	0	0
seq_id_95	1825	0	0
seq_id_96	1184	0	0
seq_id_97	1104	0	0
seq_id_98	1016	0	0
seq_id_99	2624	0	0
