position	numhm	numht
600000	34	120
1200000	195	300
1800000	23	71
2400000	12	120
3000000	110	125
3600000	500	506
4200000	449	642
4800000	439	492
5400000	480	340
6000000	396	132
6600000	307	63
7200000	785	55
7800000	758	72
8400000	717	92
9000000	597	56
9600000	651	108
10200000	492	47
10800000	575	100
11400000	383	161
12000000	383	237
12600000	297	201
13200000	168	173
13800000	22	16
14400000	68	60
15000000	76	69
15600000	93	148
16200000	41	49
16800000	202	352
17400000	157	368
18000000	73	187
18600000	93	379
