position	numhm	numht	length
5713	0	7	5713
15668	0	27	9955
83489	0	294	67821
104789	0	101	21300
106059	0	8	1270
230649	0	352	124590
245187	0	10	14538
294384	0	74	49197
474618	0	1356	180234
475372	0	0	754
501870	0	88	26498
566329	0	162	64459
619709	0	193	53380
675568	0	61	55859
681706	0	26	6138
697582	0	98	15876
701552	0	24	3970
707017	0	18	5465
726004	0	97	18987
741384	0	208	15380
766150	0	55	24766
813738	0	338	47588
877066	0	370	63328
1020409	0	846	143343
1025040	0	5	4631
1025930	0	1	890
1064685	0	259	38755
1084896	0	44	20211
1196933	1	519	112037
1203182	0	142	6249
1207651	0	36	4469
1209404	0	5	1753
1230646	0	221	21242
1265180	0	180	34534
1459114	1	539	193934
1492462	0	57	33348
1504304	0	3	11842
1532168	0	75	27864
1545283	0	11	13115
1658792	1	419	113509
1660351	0	6	1559
1661307	0	2	956
1667098	0	14	5791
1694623	0	98	27525
1698993	0	4	4370
1726987	0	50	27994
1790366	3	249	63379
1796513	0	31	6147
1822315	0	104	25802
1825933	0	0	3618
1826918	0	2	985
1857443	0	118	30525
1894043	0	132	36600
1909043	1	48	15000
1910413	0	7	1370
1912420	0	0	2007
1920187	0	1	7767
1961596	0	158	41409
2062014	0	172	100418
2084309	0	32	22295
2098273	0	52	13964
2113764	0	23	15491
2121321	0	18	7557
2122171	0	5	850
2213414	0	324	91243
2261789	0	140	48375
2262663	0	3	874
2280403	0	30	17740
2282521	0	4	2118
2283440	0	6	919
2390879	0	299	107439
2423492	0	223	32613
2430075	0	17	6583
2463460	0	79	33385
2517866	1	182	54406
2523176	0	1	5310
2592885	0	140	69709
2595902	0	3	3017
2630904	0	96	35002
2633016	0	5	2112
2633954	0	1	938
2643569	0	1	9615
2661185	0	14	17616
2661901	0	2	716
2682071	0	24	20170
2693083	0	36	11012
2697794	0	14	4711
2708075	0	31	10281
2709562	0	3	1487
2762103	0	96	52541
2784059	1	65	21956
2855641	1	100	71582
2897594	1	24	41953
2934783	0	50	37189
2968232	0	72	33449
3022354	1	50	54122
3052074	0	26	29720
3082816	1	33	30742
3095026	0	41	12210
3143717	0	119	48691
3155309	0	5	11592
3167413	0	23	12104
3168291	0	2	878
3179510	0	7	11219
3205384	0	13	25874
3207487	0	0	2103
3208111	0	1	624
3209197	0	0	1086
3210733	0	1	1536
3211612	0	2	879
3214872	0	1	3260
3227080	0	2	12208
3242055	0	15	14975
3243612	0	1	1557
3244883	0	0	1271
3246014	0	0	1131
3246564	0	0	550
3247780	0	3	1216
3248742	0	2	962
3249514	0	0	772
3253358	0	2	3844
3254081	0	0	723
3256310	0	0	2229
3258048	0	1	1738
3258713	0	0	665
3259554	0	0	841
3283215	0	12	23661
3409273	0	185	126058
3475763	2	85	66490
3476851	0	0	1088
3528464	0	48	51613
3586690	0	128	58226
3593654	0	2	6964
3602519	0	13	8865
3758857	5	151	156338
3863385	1	69	104528
3882052	0	9	18667
3923121	1	12	41069
3961440	0	26	38319
3987910	0	3	26470
3991351	0	0	3441
3994651	0	0	3300
3996480	0	0	1829
4153046	2	213	156566
4183352	0	32	30306
4194356	0	6	11004
4312323	1	111	117967
4364750	0	33	52427
4370617	1	2	5867
4372953	0	1	2336
4374054	0	0	1101
4391364	0	10	17310
4411201	0	42	19837
4432559	0	11	21358
4458840	2	3	26281
4511317	2	45	52477
4515821	0	0	4504
4516377	0	0	556
4570084	0	37	53707
4628540	1	13	58456
4629222	0	0	682
4630093	0	0	871
4680317	0	3	50224
5045716	7	154	365399
5049958	0	7	4242
5056385	0	2	6427
5062102	0	15	5717
5064904	0	0	2802
5068516	0	0	3612
5069437	0	0	921
5079553	0	0	10116
5089747	1	7	10194
5159535	0	38	69788
5161972	0	1	2437
5200964	0	16	38992
5229827	0	5	28863
5233548	0	1	3721
5239640	1	1	6092
5240734	0	0	1094
5272849	1	4	32115
5299976	0	13	27127
5307144	0	0	7168
5308791	0	0	1647
5562045	1	47	253254
5562902	0	0	857
5595106	0	19	32204
5604330	1	7	9224
5655483	1	7	51153
5657331	0	1	1848
5674030	0	49	16699
5675400	0	0	1370
5708426	0	15	33026
5714226	0	0	5800
5742944	0	4	28718
5776957	0	5	34013
5844140	0	11	67183
5853716	0	0	9576
5926327	0	10	72611
5945244	0	2	18917
5949267	0	0	4023
5950347	0	0	1080
5951224	0	0	877
6004267	0	0	53043
6004904	0	0	637
6010050	0	0	5146
6140539	2	18	130489
6148694	0	0	8155
6185903	0	8	37209
6186441	0	0	538
6307561	0	17	121120
6334050	1	4	26489
6367566	0	0	33516
6388070	0	0	20504
6776572	3	12	388502
6849354	2	3	72782
6850060	0	0	706
6909176	1	0	59116
6909771	0	0	595
6912012	0	0	2241
6953252	1	0	41240
6961002	1	0	7750
6962854	0	0	1852
6991816	1	0	28962
7009894	0	0	18078
7034472	0	4	24578
7070411	1	2	35939
7070937	0	0	526
7074760	1	0	3823
7119030	2	1	44270
7227655	0	0	108625
7275109	0	12	47454
7276065	0	0	956
7331580	1	1	55515
7367366	2	6	35786
7523597	3	4	156231
7526420	0	0	2823
7550944	0	0	24524
7730088	1	0	179144
7781138	0	1	51050
7976638	2	5	195500
8004600	1	0	27962
8021862	0	3	17262
8025196	0	0	3334
8100172	3	0	74976
8138880	0	5	38708
8216489	1	12	77609
