position	numhm	numht	length
100000	4	80
200000	0	47
300000	2	24
400000	1	35
500000	0	7
600000	0	30
700000	2	60
800000	0	26
900000	0	9
1000000	0	10
1100000	1	12
1200000	1	16
1300000	0	15
1400000	1	4
1500000	2	7
1600000	1	3
1700000	0	2
1800000	0	1
1900000	3	2
2000000	3	0
2100000	3	6
2200000	1	1
2300000	0	13
2400000	3	6
2500000	3	4
2600000	0	0
2700000	1	0
2800000	0	1
2900000	2	5
3000000	0	0
3100000	4	3
3200000	1	17
3300000	2	0
3400000	0	5
3500000	0	8
3600000	3	0
3700000	3	13
3800000	0	0
3900000	0	0
4000000	0	2
4100000	0	1
4200000	0	20
4300000	0	14
4400000	0	0
4500000	1	0
4600000	1	1
4700000	0	0
4800000	1	2
4900000	1	1
5000000	2	11
5100000	2	0
5200000	2	1
5300000	1	0
5400000	2	1
5500000	3	0
5600000	0	1
5700000	0	0
5800000	2	0
5900000	1	11
