position	numhm	numht	length
45716	3	41	45716
49958	0	7	4242
56385	0	2	6427
62102	0	15	5717
64904	0	0	2802
68516	0	0	3612
69437	0	0	921
79553	0	0	10116
89747	1	7	10194
159535	0	38	69788
161972	0	1	2437
200964	0	16	38992
229827	0	5	28863
233548	0	1	3721
239640	1	1	6092
240734	0	0	1094
272849	1	4	32115
299976	0	13	27127
307144	0	0	7168
308791	0	0	1647
562045	1	47	253254
562902	0	0	857
595106	0	19	32204
604330	1	7	9224
655483	1	7	51153
657331	0	1	1848
674030	0	49	16699
675400	0	0	1370
708426	0	15	33026
714226	0	0	5800
742944	0	4	28718
776957	0	5	34013
844140	0	11	67183
853716	0	0	9576
926327	0	10	72611
945244	0	2	18917
949267	0	0	4023
950347	0	0	1080
951224	0	0	877
1004267	0	0	53043
1004904	0	0	637
1010050	0	0	5146
1140539	2	18	130489
1148694	0	0	8155
1185903	0	8	37209
1186441	0	0	538
1307561	0	17	121120
1334050	1	4	26489
1367566	0	0	33516
1388070	0	0	20504
1776572	3	12	388502
1849354	2	3	72782
1850060	0	0	706
1909176	1	0	59116
1909771	0	0	595
1912012	0	0	2241
1953252	1	0	41240
1961002	1	0	7750
1962854	0	0	1852
1991816	1	0	28962
2009894	0	0	18078
2034472	0	4	24578
2070411	1	2	35939
2070937	0	0	526
2074760	1	0	3823
2119030	2	1	44270
2227655	0	0	108625
2275109	0	12	47454
2276065	0	0	956
2331580	1	1	55515
2367366	2	6	35786
2523597	3	4	156231
2526420	0	0	2823
2550944	0	0	24524
2730088	1	0	179144
2781138	0	1	51050
2976638	2	5	195500
3004600	1	0	27962
3021862	0	3	17262
3025196	0	0	3334
3100172	3	0	74976
3138880	0	5	38708
3216489	1	12	77609
3217298	0	0	809
3256451	2	0	39153
3291878	0	0	35427
3684914	6	24	393036
3754217	0	2	69303
3786522	0	0	32305
3924704	0	0	138182
3946800	0	0	22096
3990763	0	2	43963
4002013	0	0	11250
4032136	0	1	30123
4160548	0	9	128412
4161346	0	0	798
4282053	0	22	120707
4295478	0	3	13425
4323425	0	0	27947
4351053	0	0	27628
4377586	0	0	26533
4384629	0	0	7043
4385585	0	0	956
4386099	0	0	514
4387222	0	0	1123
4497138	1	0	109916
4655232	1	1	158094
4671122	0	0	15890
4677615	0	0	6493
4698877	0	0	21262
4761839	0	1	62962
5302923	9	14	541084
5344296	1	0	41373
5557460	4	2	213164
5566908	0	0	9448
5594267	0	0	27359
5791326	2	0	197059
5870224	1	11	78898
