position	numhm	numht
500000	10	56
1000000	10	56
1500000	7	85
2000000	5	117
2500000	18	116
3000000	19	68
3500000	23	199
4000000	23	73
4500000	18	129
5000000	25	61
5500000	14	149
6000000	10	148
6500000	26	124
7000000	18	134
7500000	26	248
8000000	18	102
8500000	27	136
9000000	16	118
9500000	17	93
10000000	32	179
10500000	20	105
11000000	23	117
11500000	53	250
12000000	22	122
12500000	93	275
13000000	36	348
13500000	36	309
14000000	45	621
14500000	48	692
15000000	24089	451
15500000	800	670
16000000	24	796
16500000	41	458
17000000	78	576
17500000	24	175
18000000	12	120
18500000	7	104
19000000	14	191
19500000	7	80
20000000	11	67
20500000	8	75
21000000	17	79
21500000	4	62
22000000	9	68
22500000	11	75
23000000	8	71
23500000	7	62
24000000	9	46
24500000	11	52
25000000	6	43
25500000	7	29
26000000	3	20
26500000	7	35
27000000	8	28
27500000	9	27
28000000	4	44
28500000	4	27
29000000	0	24
29500000	9	38
30000000	4	35
30500000	4	464
