fragment	length	numhm	numht
seq_id_1	1421	1	4
seq_id_2	2675	0	0
seq_id_3	3223	0	2
seq_id_4	1316	0	0
seq_id_5	89604	4	46
seq_id_6	7479	0	6
seq_id_7	1470	0	3
seq_id_8	964	0	0
seq_id_9	3446	0	3
seq_id_10	5442	0	4
seq_id_11	8495	1	2
seq_id_12	3323	0	2
seq_id_13	109071	20	55
seq_id_14	1037	0	1
seq_id_15	3735	0	7
seq_id_16	1676	0	6
seq_id_17	3358	2	6
seq_id_18	8202	3	7
seq_id_19	1331	0	1
seq_id_20	4421	0	2
seq_id_21	15063	1	4
seq_id_22	1087	0	1
seq_id_23	13075	0	6
seq_id_24	1264	0	4
seq_id_25	16489	0	10
seq_id_26	12106	1	3
seq_id_27	2211	0	2
seq_id_28	4546	1	2
seq_id_29	2310	0	0
seq_id_30	11236	0	6
seq_id_31	22363	4	14
seq_id_32	25827	2	21
seq_id_33	1867	2	3
seq_id_34	31409	4	26
seq_id_35	4122	0	1
seq_id_36	2583	1	7
seq_id_37	1760	0	3
seq_id_38	6191	1	8
seq_id_39	12968	4	14
seq_id_40	1993	0	0
seq_id_41	3099	0	3
seq_id_42	5269	1	1
seq_id_43	43490	1	13
seq_id_44	3361	0	0
seq_id_45	747	0	0
seq_id_46	2035	0	1
seq_id_47	709	0	0
seq_id_48	888	0	0
seq_id_49	6969	0	0
seq_id_50	3155	0	0
seq_id_51	4508	0	0
seq_id_52	18099	0	0
seq_id_53	2353	0	0
seq_id_54	2225	0	0
seq_id_55	992	0	0
seq_id_56	20753	0	0
seq_id_57	551	0	0
seq_id_58	24566	0	0
seq_id_59	2434	0	0
seq_id_60	1420	0	0
seq_id_61	1776	0	0
seq_id_62	4864	0	0
seq_id_63	2148	0	0
seq_id_64	1632	0	0
seq_id_65	1373	0	0
seq_id_66	1191	0	0
seq_id_67	2881	0	0
seq_id_68	22023	0	0
seq_id_69	1127	0	0
seq_id_70	1527	0	0
seq_id_71	3059	0	0
seq_id_72	42920	0	0
seq_id_73	2990	0	0
seq_id_74	936	0	0
seq_id_75	10623	0	0
seq_id_76	7515	0	0
seq_id_77	808	0	0
seq_id_78	9145	1	0
seq_id_79	29889	0	1
seq_id_80	2833	0	0
seq_id_81	1319	0	0
seq_id_82	4608	0	0
seq_id_83	19423	0	0
seq_id_84	660	0	0
seq_id_85	1164	0	0
seq_id_86	2756	0	0
seq_id_87	1487	0	0
seq_id_88	2416	0	0
seq_id_89	5084	0	0
seq_id_90	25030	0	0
seq_id_91	898	0	0
seq_id_92	7234	0	0
seq_id_93	3705	0	0
seq_id_94	3240	0	0
seq_id_95	6061	0	0
seq_id_96	531	0	0
seq_id_97	1492	0	0
seq_id_98	2297	0	0
seq_id_99	680	0	0
seq_id_100	19751	0	0
seq_id_101	1538	0	0
seq_id_102	29609	0	0
seq_id_103	2668	0	0
seq_id_104	1350	0	0
seq_id_105	602	0	0
seq_id_106	2805	0	0
seq_id_107	2158	0	0
seq_id_108	6420	0	0
seq_id_109	1978	0	0
seq_id_110	10538	0	0
seq_id_111	6856	0	0
seq_id_112	1220	0	0
seq_id_113	6363	0	0
seq_id_114	1902	0	0
seq_id_115	3990	0	0
seq_id_116	22254	0	0
seq_id_117	20299	0	0
seq_id_118	870	0	0
seq_id_119	6375	0	0
seq_id_120	3425	0	0
seq_id_121	19077	0	0
seq_id_122	33380	0	0
seq_id_123	1244	0	0
seq_id_124	1572	0	0
seq_id_125	3229	0	0
seq_id_126	11713	0	1
seq_id_127	1083	0	0
seq_id_128	7448	0	0
seq_id_129	3108	0	0
seq_id_130	1545	0	0
seq_id_131	14795	0	0
seq_id_132	1316	0	0
seq_id_133	689	0	0
seq_id_134	2436	0	0
seq_id_135	31069	1	4
seq_id_136	8060	0	5
seq_id_137	3223	0	0
seq_id_138	14191	3	13
seq_id_139	11030	2	10
seq_id_140	537	0	1
seq_id_141	991	0	0
seq_id_142	33011	4	22
seq_id_143	1304	0	0
seq_id_144	17264	4	4
seq_id_145	636	0	2
seq_id_146	741	0	0
seq_id_147	15216	3	3
seq_id_148	5795	0	3
seq_id_149	1863	1	1
seq_id_150	43503	0	36
seq_id_151	17890	1	7
seq_id_152	25462	0	6
seq_id_153	3908	0	1
seq_id_154	1116	0	0
seq_id_155	620	0	0
seq_id_156	1564	0	0
seq_id_157	1777	0	1
seq_id_158	959	0	0
seq_id_159	64621	0	15
seq_id_160	1568	0	0
seq_id_161	12486	1	3
seq_id_162	1954	0	0
seq_id_163	1287	0	1
seq_id_164	13565	1	14
seq_id_165	1108	0	0
seq_id_166	1202	0	0
seq_id_167	1184	0	0
seq_id_168	821	0	0
seq_id_169	1875	0	0
