fragment	length	numhm	numht
seq_id_1	1060	1	4
seq_id_2	8547	0	2
seq_id_3	966	0	2
seq_id_4	4628	0	1
seq_id_5	5303	0	0
seq_id_6	65119	4	32
seq_id_7	3996	0	6
seq_id_8	1156	0	1
seq_id_9	20701	0	16
seq_id_10	66572	8	32
seq_id_11	34482	3	22
seq_id_12	998	1	1
seq_id_13	700	0	0
seq_id_14	6066	1	2
seq_id_15	1103	0	0
seq_id_16	15998	8	6
seq_id_17	5781	0	9
seq_id_18	1107	0	5
seq_id_19	164999	17	100
seq_id_20	699	0	0
seq_id_21	12326	3	18
seq_id_22	1084	0	0
seq_id_23	693	0	0
seq_id_24	2866	1	2
seq_id_25	21162	5	30
seq_id_26	4867	0	1
seq_id_27	2218	0	3
seq_id_28	630	0	0
seq_id_29	20694	1	3
seq_id_30	1281	0	0
seq_id_31	2990	0	1
seq_id_32	3078	0	0
seq_id_33	14681	1	8
seq_id_34	10552	0	2
seq_id_35	850	0	1
seq_id_36	7472	0	0
seq_id_37	8103	0	0
seq_id_38	2335	0	0
seq_id_39	1254	0	0
seq_id_40	959	0	0
seq_id_41	2457	0	0
seq_id_42	2268	0	0
seq_id_43	23081	0	0
seq_id_44	1287	0	0
seq_id_45	7073	0	0
seq_id_46	3333	0	0
seq_id_47	1170	0	0
seq_id_48	881	0	0
seq_id_49	1051	0	0
seq_id_50	15818	0	0
seq_id_51	1857	0	0
seq_id_52	778	0	0
seq_id_53	9703	0	0
seq_id_54	22030	0	0
seq_id_55	2129	0	0
seq_id_56	2395	0	0
seq_id_57	15615	0	0
seq_id_58	29485	0	0
seq_id_59	1497	0	0
seq_id_60	3591	0	0
seq_id_61	2315	0	0
seq_id_62	5486	0	0
seq_id_63	1426	0	0
seq_id_64	1581	0	0
seq_id_65	658	0	0
seq_id_66	1866	0	0
seq_id_67	2801	0	0
seq_id_68	1308	0	0
seq_id_69	3009	0	0
seq_id_70	1486	0	0
seq_id_71	1236	0	0
seq_id_72	833	0	0
seq_id_73	2060	0	0
seq_id_74	15326	1	0
seq_id_75	26123	0	1
seq_id_76	1141	0	0
seq_id_77	3394	0	0
seq_id_78	707	0	0
seq_id_79	6609	0	0
seq_id_80	18820	0	0
seq_id_81	9052	0	0
seq_id_82	2365	0	0
seq_id_83	12935	0	0
seq_id_84	604	0	0
seq_id_85	1690	0	0
seq_id_86	1906	0	0
seq_id_87	11590	0	0
seq_id_88	1140	0	0
seq_id_89	5177	0	0
seq_id_90	699	0	0
seq_id_91	6093	0	0
seq_id_92	1068	0	0
seq_id_93	988	0	0
seq_id_94	1896	0	0
seq_id_95	1500	0	0
seq_id_96	1256	0	0
seq_id_97	3293	0	0
seq_id_98	1208	0	0
seq_id_99	1701	0	0
seq_id_100	4890	0	0
seq_id_101	9122	0	0
seq_id_102	5158	0	0
seq_id_103	1644	0	0
seq_id_104	2169	0	0
seq_id_105	7023	0	0
seq_id_106	20938	0	0
seq_id_107	556	0	0
seq_id_108	745	0	0
seq_id_109	18164	0	0
seq_id_110	17610	0	0
seq_id_111	13918	0	0
seq_id_112	17460	0	0
seq_id_113	1994	0	0
seq_id_114	3152	0	0
seq_id_115	1991	0	0
seq_id_116	3084	0	0
seq_id_117	606	0	0
seq_id_118	619	0	0
seq_id_119	6352	0	0
seq_id_120	6552	0	0
seq_id_121	37183	0	0
seq_id_122	4559	0	0
seq_id_123	1506	0	0
seq_id_124	30679	0	1
seq_id_125	1909	0	0
seq_id_126	1252	0	0
seq_id_127	7504	0	0
