fragment	length	numhm	numht
seq_id_1	8707	1	6
seq_id_2	4550	0	3
seq_id_3	28777	1	8
seq_id_4	2242	0	0
seq_id_5	1275	0	1
seq_id_6	1256	0	0
seq_id_7	1903	0	2
seq_id_8	770	0	0
seq_id_9	4113	0	1
seq_id_10	2224	0	1
seq_id_11	3840	0	0
seq_id_12	850	0	0
seq_id_13	2698	0	1
seq_id_14	6523	0	8
seq_id_15	5279	0	6
seq_id_16	16918	3	11
seq_id_17	21612	0	16
seq_id_18	881	0	2
seq_id_19	9591	1	4
seq_id_20	858	0	0
seq_id_21	1440	0	0
seq_id_22	13231	4	7
seq_id_23	1703	0	0
seq_id_24	5915	0	7
seq_id_25	1868	0	0
seq_id_26	1037	0	1
seq_id_27	1253	0	0
seq_id_28	1162	0	0
seq_id_29	9809	2	6
seq_id_30	3638	0	4
seq_id_31	23802	2	12
seq_id_32	1460	0	1
seq_id_33	21489	2	10
seq_id_34	1967	1	1
seq_id_35	3982	0	0
seq_id_36	2840	1	2
seq_id_37	4895	5	1
seq_id_38	74690	9	58
seq_id_39	2990	0	1
seq_id_40	6904	0	2
seq_id_41	6078	1	1
seq_id_42	6998	0	4
seq_id_43	10499	1	5
seq_id_44	2182	0	1
seq_id_45	1380	0	0
seq_id_46	4272	3	1
seq_id_47	13549	0	13
seq_id_48	28906	3	20
seq_id_49	1071	0	1
seq_id_50	18382	3	12
seq_id_51	12588	2	11
seq_id_52	1225	0	0
seq_id_53	9856	2	12
seq_id_54	1825	0	3
seq_id_55	91814	7	43
seq_id_56	706	0	0
seq_id_57	543	0	0
seq_id_58	1663	0	0
seq_id_59	1098	0	0
seq_id_60	513	0	0
seq_id_61	13385	0	0
seq_id_62	604	0	0
seq_id_63	1225	0	0
seq_id_64	2191	0	0
seq_id_65	831	0	0
seq_id_66	3101	0	0
seq_id_67	2802	0	0
seq_id_68	1594	0	0
seq_id_69	19781	0	0
seq_id_70	5235	0	0
seq_id_71	2916	0	0
seq_id_72	7955	0	0
seq_id_73	807	0	0
seq_id_74	7814	0	0
seq_id_75	6484	0	0
seq_id_76	24839	0	0
seq_id_77	12537	0	0
seq_id_78	1714	0	0
seq_id_79	2447	0	0
seq_id_80	3236	0	0
seq_id_81	13190	0	0
seq_id_82	26614	0	0
seq_id_83	5710	0	0
seq_id_84	747	0	0
seq_id_85	6081	0	0
seq_id_86	11731	0	0
seq_id_87	3621	0	0
seq_id_88	732	0	0
seq_id_89	4657	1	0
seq_id_90	812	0	0
seq_id_91	2288	0	0
seq_id_92	1047	0	0
seq_id_93	4849	0	0
seq_id_94	2276	0	0
seq_id_95	4341	0	1
